campaign		imperial_campaign
playable
	romans_julii;			<--------- Fabia gens
	steppe_faction_02;		<--------- Catiratoi
	steppe_faction_03;		<--------- Budini
	steppe_faction_04;		<--------- Iazyges
	steppe_faction_05;		<--------- Roxolani
	steppe_faction_06;		<--------- Dahae
	steppe_faction_07;		<--------- Thyssagetae
	steppe_faction_08;		<--------- Siraces
	thracian_faction_01;	<--------- Paionia
	thracian_faction_02;	<--------- Serdi
	rebel_romans;			<--------- Emergent Rome
	rebel_carthage;			<--------- Emergent Carthage
	rebel_parthia;			<--------- Emergent Parthia
	rebel_judea;			<--------- Emergent Judea
	rebel_greek;			<--------- Emergent Greek
	rebel_egypt;			<--------- Emergent Egypt
	rebel_latin;			<--------- Emergent Latin
	rebel_desert;			<--------- Emergent Desert
	rebel_nuragic;			<--------- Emergent Nuragic
end
nonplayable
	romans_senate;			<--------- SPQR (Cornelia gens)
	carthage;				<--------- Carthage (Adirim)
	rebel_slave
	slave
end

start_date	-270 summer
end_date	14 summer

rebelling_characters_active;	<--------- characters with low loyalty can rebel
brigand_spawn_value 40;			<--------- less slave rebels. They are annoying.
pirate_spawn_value 70;			<--------- less pirates to help Roman AI expanding across the Mediterranean


;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; >>>> start of landmarks section <<<<

landmark	pyramids_and_sphinx		181,	12
landmark	pharos					178,	21
landmark	colossus				160,	44
landmark	temple					157,	53
landmark	statue					134,	49
landmark	gardens					237,	46
landmark	mausoleum				160,	50
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; >>>> start of resources section <<<<

;        Resource Type   Quantity      X     Y
;;resource	iron,           1,         83,   128

;;note: order is important, must be enabled _then_ disabled

;; JNF 2021-06-01 - resources with resource quantity enabled
resource_quantity_enabled
	resource	marble,         1,         55,   63
	resource	glass,          1,         201,  36			;Tyre
	resource	purple_dye,     3,         201,  39			;Tyre
	resource	gold,           1,         46,   135
	resource	gold,           1,         20,   83
	resource	gold,           1,         140,  64
	resource	grain,          1,         109,  94
	resource	grain,          1,         116,  92
	resource	grain,          1,         184,  18
	resource	grain,          1,         186,  5
	resource	grain,          2,         184,  8
	resource	grain,          2,         182,  2
	resource	grain,          2,         84,   31
	resource	grain,          2,         44,   47
	resource	grain,          1,         103,  44
	resource	grain,          2,         84,   41
	resource	grain,          1,         88,   21
	resource	grain,          1,         70,   42
	resource	furs,           1,         130,  99
	resource	furs,           1,         97,   131
	resource	furs,           1,         126,  112
	resource	furs,           1,         115,  132
	resource	furs,           1,         192,  140
	resource	furs,           1,         169,  141
	resource	furs,           1,         148,  144
	resource	lead,           2,         92,   105
	resource	lead,           2,         56,   142
	resource	amber,          3,         142,  125		;Pripet
	resource	amber,          3,         93,   136
	resource	wild_animals,   1,         215,  144
	resource	timber,         1,         208,  145
	resource	timber,         1,         176,  141
	resource	timber,         1,         158,  142
	resource	timber,         1,         223,  93
	resource	timber,         1,         229,  100
	resource	timber,         1,         96,   106
	resource	timber,         1,         92,   117
	resource	timber,         1,         84,   124
	resource	timber,         1,         86,   145
	resource	timber,         1,         89,   128
	resource	timber,         1,         62,   111
	resource	timber,         1,         72,   111
	resource	timber,         1,         125,  137
	resource	timber,         1,         128,  114
	resource	timber,         1,         117,  123
	resource	timber,         1,         116,  110
	resource	timber,         1,         103,  118
	resource	timber,         1,         95,   133
	resource	timber,         1,         52,   130		;Britannia_Superior
	resource	amber,          3,         123,  143
	resource	camels,         1,         251,  117
	resource	hides,			1,         170,  128
	resource	hides,			1,         238,  147
	resource	hides,			1,         219,  124
	resource	silver,         1,         216,  108
	resource	lead,           2,         47,   136
	resource	amber,          3,         113,  136
	resource	silver,         1,         107,  132
	resource	iron,           2,         232,  81
	resource	iron,           2,         105,  134
	resource	iron,           2,         49,   129
	resource	iron,           2,         78,   132
	resource	iron,           2,         107,  125
	resource	textiles,       1,         69,   122
	resource	textiles,       1,         56,   129
	resource	pottery,        1,         66,   123
	resource	grain,          1,         190,  115
	resource	hides,          1,         84,   113
	resource	timber,         1,         41,   110
	resource	glass,          1,         46,   111
	resource	iron,           2,         109,  110
	resource	iron,           2,         171,  111
	resource	iron,           2,         53,   103
	resource	lead,           1,         54,   99
	resource	lead,           1,         54,   98
	resource	gold,           1,         136,  98
	resource	iron,           2,         139,  101
	resource	timber,         1,         160,  99
	resource	grain,          1,         174,  101
	resource	grain,          3,         178,  99
	resource	wine,          	2,         250,  94
	resource	wine,          	2,         196,  103
	resource	wine,          	2,         182,  102
	resource	wine,           2,         47,   91
	resource	pottery,        1,         67,   91			;Lugdinensis
	resource	iron,           2,         54,   91
	resource	gold,           1,         212,  92
	resource	glass,          1,         96,   91
	resource	textiles,       2,         91,   90
	resource	textiles,       1,         49,   85
	resource	wine,           1,         65,   86
	resource	wine,           3,         55,   82
	resource	silver,         1,         59,   84
	resource	iron,           2,         112,  84
	resource	wine,           3,         106,  88
	resource	gold,           1,         148,  78
	resource	iron,           2,         16,   88
	resource	tin,            1,         23,   86
	resource	timber,         1,         24,   82
	resource	gold,           1,         117,  76
	resource	olive_oil,      2,         123,  73
	resource	iron,           2,         223,  80
	resource	wine,           2,         220,  86
	resource	pottery,        1,         86,   83
	resource	timber,         1,         78,   84
	resource	timber,         1,         197,  81
	resource	iron,           2,         188,  74
	resource	silver,         1,         202,  78
	resource	iron,           2,         28,   74
	resource	lead,           2,         30,   80
	resource	iron,           2,         89,   78
	resource	marble,         1,         90,   82
	resource	silver,         1,         47,   76
	resource	marble,         1,         50,   72
	resource	pottery,        1,         100,  77
	resource	iron,           2,         241,  64
	resource	elephants,      1,         253,  75
	resource	camels,         1,         250,  68
	resource	timber,         1,         138,  69
	resource	timber,         1,         155,  70
	resource	wine,           2,         166,  70
	resource	textiles,       1,         171,  64
	resource	silver,         1,         38,   67
	resource	pottery,        1,         40,   65
	resource	olive_oil,      2,         111,  68			;Apulia
	resource	copper,         2,         108,  66			;Apulia
	resource	timber,         1,         115,  65
	resource	camels,         1,         217,  58
	resource	elephants,      1,         216,  62
	resource	textiles,       1,         218,  60
	resource	wine,           2,         18,   54
	resource	olive_oil,      2,         12,   54
	resource	gold,           1,         16,   53
	resource	timber,         1,         156,  65
	resource	silver,         1,         160,  63
	resource	wine,           2,         161,  65
	resource	silver,         1,         195,  59
	resource	lead,           1,         55,   62
	resource	wine,           2,         54,   61
	resource	silver,         1,         167,  56
	resource	timber,         1,         156,  55
	resource	marble,         1,         152,  62			;Mysia
	resource	marble,         1,         164,  55			;Lydia
	resource	textiles,       1,         160,  54
	resource	iron,           2,         201,  57
	resource	camels,         1,         206,  54
	resource	elephants,      1,         201,  50
	resource	textiles,       1,         198,  56
	resource	elephants,      1,         238,  55
	resource	camels,         1,         240,  49
	resource	marble,         1,         143,  54			;Athens
	resource	silver,         1,         144,  53			;Athens
	resource	marble,         1,         148,  51			;Euboea
	resource	grain,          1,         80,   64			;Sardinia_Superior
	resource	silver,         1,         82,   63			;Sardinia_Superior
	resource	silver,         1,         82,   60			;Sardinia_Inferior
	resource	olive_oil,      2,         142,  55
	resource	pottery,        2,         147,  53
	resource	camels,         1,         251,  43
	resource	elephants,      1,         254,  43
	resource	iron,           2,         251,  52
	resource	timber,         1,         134,  46
	resource	wine,           2,         166,  49			;Lycia
	resource	olive_oil,      2,         173,  48			;Lycia
	resource	textiles,       1,         164,  51
	resource	camels,         1,         2,    23
	resource	timber,         1,         15,   44
	resource	copper,         2,         26,   39			;Siga
	resource	camels,         1,         215,  42
	resource	elephants,      1,         58,   39
	resource	camels,         1,         60,   31
	resource	marble,         1,         64,   38
	resource	timber,         1,         58,   45
	resource	timber,         1,         86,   42
	resource	elephants,      1,         73,   42
	resource	camels,         1,         80,   40
	resource	olive_oil,      2,         78,   44
	resource	timber,         1,         104,  45
	resource	camels,         1,         209,  47
	resource	elephants,      1,         206,  45
	resource	elephants,      1,         209,  51
	resource	camels,         1,         227,  14
	resource	camels,         1,         227,  8
	resource	camels,         1,         81,   30
	resource	olive_oil,      2,         85,   37
	resource	purple_dye,     3,         152,  37
	resource	purple_dye,     3,         197,  22
	resource	wine,           2,         200,  27
	resource	camels,         1,         105,  14
	resource	purple_dye,     3,         94,   21
	resource	timber,         1,         132,  17
	resource	camels,         1,         139,  16
	resource	camels,         1,         190,  20
	resource	glass,          1,         180,  19
	resource	grain,          3,         182,  17
	resource	textiles,       1,         184,  22
	resource	camels,         1,         195,  19
	resource	camels,         1,         167,  13
	resource	camels,         1,         185,  12
	resource	camels,         1,         181,  9
	resource	grain,          2,         185,  9
	resource	gold,           1,         192,  4
	resource	camels,         1,         181,  3
	resource	purple_dye,     3,         191,  45
	resource	wine,           2,         105,  64
	resource	wine,           2,         79,   59
	resource	incense,        3,         215,  1			;Hejaz
	resource	incense,        3,         206,  10
	resource	incense,        3,         218,  44
	resource	silk,           3,         208,  43
	resource	silk,           3,         202,  56			;Antioch
	resource	wine,           1,         203,  58			;Cyrrhus
	resource	olive_oil,      2,         203,  54			;Apamene
	resource	tin,            2,         38,   126		;Cornovae
	resource	wild_animals,   3,         83,   23
	resource	wild_animals,   3,         191,  1
	resource	camels,   		1,         197,  1
	resource	incense,        3,         187,  7
	resource	wild_animals,   3,         129,  143
	resource	wild_animals,   2,         41,   42
	resource	wild_animals,   1,         53,   43
	resource	wild_animals,   3,         112,  120
	resource	wild_animals,   1,         51,   152		;Caledonia
	resource	wild_animals,   1,         15,   38			;Mauretania
	resource	wild_animals,   1,         41,   30			;Sahara
	resource	wild_animals,   1,         13,   46			;Tingitana
	resource	wild_animals,   1,         90,   122		;Chauci
	resource	wild_animals,   1,         145,  87			;Argedava
	resource	wild_animals,   1,         211,  94			;Colchis
	resource	wild_animals,   1,         214,  114		;Siracena
	resource	iron,           2,         106,  99
	resource	iron,           3,         139,  54
	resource	timber,         1,         191,  57
	resource	pottery,        1,         195,  57
	resource	pottery,        1,         161,  44			;Rhodes
	resource	pottery,        1,         187,  82			;Sinope
	resource	gold,           1,         188,  43
	resource	timber,         1,         186,  46
	resource	copper,         2,         185,  43			;Cyprus
	resource	timber,         1,         110,  80
	resource	gold,           1,         114,  83
	resource	marble,         1,         136,  48
	resource	gold,           2,         148,  69
	resource	pottery,        1,         196,  58
	resource	olive_oil,      2,         200,  32
	resource	camels,         1,         203,  24
	resource	silk,           3,         254,  81
	resource	silk,           3,         224,  63
	resource	silk,           3,         239,  57			;Babylon
	resource	lead,           2,         197,  67
	resource	elephants,      1,         80,   32
	resource	elephants,      1,         13,   42
	resource	camels,         1,         32,   31
	resource	camels,         1,         60,   5
	resource	wine,           3,         41,   80
	resource	hides,          1,         68,   109
	resource	hides,          1,         80,   129
	resource	silver,         1,         111,  54
	resource	silver,         1,         111,  83
	resource	camels,         1,         100,  10
	resource	camels,         1,         115,  10
	resource	camels,         1,         132,  10
	resource	camels,         1,         140,  10
	resource	camels,         1,         154,  10
	resource	camels,         1,         177,  15
	resource	camels,         1,         208,  17
	resource	camels,         1,         210,  34
	resource	incense,        3,         219,  1
	resource	timber,         1,         35,   147		;Hibernia
	resource	timber,         1,         47,   153		;Scotland
	resource	elephants,      1,         34,   38			;Siga
	resource	glass,          1,         200,  40			;Sidon
	resource	silver,         1,         132,  94			;Zarmizegetusa
	resource	gold,           1,         132,  96			;Zarmizegetusa
	resource	silver,         1,         136,  50			;Arcadia
	resource	marble,         1,         134,  57			;Delphi
	resource	marble,         1,         141,  50			;Argolis
	resource	furs,           1,         85,   129		;Cherusci
	resource	furs,           1,         85,   152		;Alabu
	resource	furs,           1,         104,  118		;Suebi
	resource	furs,           1,         230,  152		;Massagetae
	resource	grain,          1,         153,  106		;Getae
	resource	grain,          1,         153,  83			;Shumen
	resource	grain,          1,         138,  70			;Pella
	resource	grain,          1,         114,  95			;Pannonia
	resource	olive_oil,      1,         135,  50			;Elis
	resource	olive_oil,      1,         41,   60			;Hispania
	resource	olive_oil,      1,         45,   70			;Saguntum
	resource	wine,           1,         107,  51			;Messenia
	resource	wine,           1,         56,   79			;Emporium
	resource	wine,           1,         142,  58			;Thessaly
	resource	iron,           2,         227,  78			;Urartu
	resource	iron,           2,         126,  67			;Epidamnos
	resource	iron,           2,         104,  100		;Noricum
	resource	tin,            1,         19,   70			;Lusitani
	resource	iron,           2,         131,  78			;Serdica
	resource	iron,           2,         85,   102		;Helvetis
	resource	timber,         1,         73,   96			;Helvetis
	resource	grain,          1,         81,   92			;Cisalpine_Gaul
	resource	pottery,        1,         159,  58			;Pergamon
	resource	textiles,       1,         157,  57			;Pergamon
	resource	timber,         1,         80,   74			;Corsica
	resource	timber,         1,         69,   81			;Massilia
;;;;;;;;;;;;;;;new regions
	resource	slaves,         1,         184,  82			;Sinope
	resource	slaves,         1,         220,  93			;Mtskheta
	resource	slaves,         1,         236,  91			;Kabalak
	resource	slaves,         1,         57,   77			;Emporium
	resource	slaves,         1,         39,   66			;Saguntum
	resource	slaves,         1,         48,   33			;Dimmidi
	resource	slaves,         1,         202,  83			;Trapezous
	resource	slaves,         1,         15,   62			;Ispal
	resource	slaves,         1,         26,   81			;Velliki
	resource	slaves,         1,         53,   45			;Iol
	resource	slaves,         1,         92,   85			;Bononia
	resource	slaves,         1,         124,  97			;Zarmizegetusa
	resource	slaves,         1,         119,  135		;Twangste
	resource	slaves,         1,         44,   127		;Iska
	resource	slaves,         1,         123,  77			;Scodra
	resource	slaves,         1,         84,   104		;Aventicos
	resource	slaves,         1,         118,  90			;Singidun
	resource	slaves,         1,         124,  67			;Epidamnos
	resource	slaves,         1,         218,  78			;Arsamosata
	resource	slaves,         1,         178,  77			;Gangra
	resource	slaves,         1,         223,  120		;Campus Alanni
	resource	slaves,         1,         114,  79			;Deliminium
	resource	slaves,         1,         128,  60			;Ambracia
	resource	slaves,         1,         161,  17			;Paraitonion
	resource	slaves,         1,         57,   140		;Eburacum
	resource	slaves,         1,         59,   129		;Londinium
	resource	slaves,         1,         49,   138		;Deva
	resource	slaves,         1,         60,   117		;Samarobriva
	resource	slaves,         1,         47,   112		;Candate Redonum
	resource	slaves,         1,         47,   98			;Lemonum
	resource	slaves,         1,         58,   83			;Narbo Martius
	resource	slaves,         1,         68,   81			;Massilia
	resource	slaves,         1,         67,   91			;Lugdunum
	resource	slaves,         1,         65,   105		;Alesia
	resource	slaves,         1,         85,   126		;Mattium
	resource	slaves,         1,         86,   141		;Bordesholm
	resource	slaves,         1,         89,   119		;Uburzis
	resource	slaves,         1,         79,   113		;Mediomatrici
	resource	slaves,         1,         95,   129		;Luppia
	resource	slaves,         1,         109,  136		;Rougion
	resource	slaves,         1,         116,  124		;Budorgis
	resource	slaves,         1,         147,  127		;Vicus Venedae
	resource	slaves,         1,         188,  114		;Tanais
	resource	slaves,         1,         173,  98			;Charsonesos
	resource	slaves,         1,         159,  106		;Campus Scythii
	resource	slaves,         1,         128,  87			;Naisos
	resource	slaves,         1,         153,  82			;Shumen
	resource	slaves,         1,         146,  70			;Edonis
	resource	slaves,         1,         131,  71			;Bylazora
	resource	slaves,         1,         158,  72			;Byzantium
	resource	slaves,         1,         150,  74			;Tylis
	resource	slaves,         1,         138,  48			;Arcadia
	resource	slaves,         1,         141,  49			;Argolis
	resource	slaves,         1,         140,  51			;Peloponnesus
	resource	slaves,         1,         142,  54			;Megara
	resource	slaves,         1,         136,  54			;Delphi
	resource	slaves,         1,         136,  52			;Achaea
	resource	slaves,         1,         135,  67			;Pella
	resource	slaves,         1,         141,  65			;
	resource	slaves,         1,         177,  59			;
	resource	slaves,         1,         175,  52			;
	resource	slaves,         1,         135,  58			;Trikke
	resource	slaves,         1,         155,  62			;
	resource	slaves,         1,         132,  54			;Thermon
	resource	slaves,         1,         143,  53			;
	resource	slaves,         1,         101,  48			;
	resource	slaves,         1,         138,  45			;Laconia
	resource	slaves,         1,         147,  37
	resource	slaves,         1,         160,  43
	resource	slaves,         1,         134,  47			;Messenia
	resource	slaves,         1,         134,  48			;Elis
	resource	slaves,         1,         170,  47			;Lycia
	resource	slaves,         1,         172,  60			;Phrygia
	resource	slaves,         1,         125,  63			;Apollonia
	resource	slaves,         1,         107,  91
	resource	slaves,         1,         116,  99			;Pannonia Superior
	resource	slaves,         1,         98,   103		;Noricum
	resource	slaves,         1,         132,  116		;Locus Anartes
	resource	slaves,         1,         139,  100
	resource	slaves,         1,         83,   78
	resource	slaves,         1,         98,   79			;Asculum
	resource	slaves,         1,         135,  76			;Serdica
	resource	slaves,         1,         100,  72			;Narnia
	resource	slaves,         1,         109,  71
	resource	slaves,         1,         103,  67
	resource	slaves,         1,         93,   89
	resource	slaves,         1,         97,   81
	resource	slaves,         1,         89,   80
	resource	slaves,         1,         83,   92
	resource	slaves,         1,         95,   69
	resource	slaves,         1,         101,  69
	resource	slaves,         1,         113,  65
	resource	slaves,         1,         79,   60
	resource	slaves,         1,         105,  46
	resource	slaves,         1,         96,   48
	resource	slaves,         1,         107,  50
	resource	slaves,         1,         54,   62
	resource	slaves,         1,         42,   77			;Osca
	resource	slaves,         1,         25,   74			;Numantia
	resource	slaves,         1,         18,   87			;Asturica
	resource	slaves,         1,         8,    70			;Oxtraca
	resource	slaves,         1,         16,   59
	resource	slaves,         1,         38,   59
	resource	slaves,         1,         11,   45
	resource	slaves,         1,         61,   39			;Cirta
	resource	slaves,         1,         80,   46
	resource	slaves,         1,         81,   34
	resource	slaves,         1,         97,   17
	resource	slaves,         1,         130,  17
	resource	slaves,         1,         186,  4
	resource	slaves,         1,         183,  10
	resource	slaves,         1,         177,  18
	resource	slaves,         1,         207,  16
	resource	slaves,         1,         198,  25
	resource	slaves,         1,         210,  25			;Karak
	resource	slaves,         1,         196,  20			;Rhinocorura
	resource	slaves,         1,         239,  23			;Barbaricum
	resource	slaves,         1,         200,  33			;Tyre
	resource	slaves,         1,         203,  34			;Judaea
	resource	slaves,         1,         210,  36			;Bosra
	resource	slaves,         1,         199,  40			;Sidon
	resource	slaves,         1,         198,  50			;Antioch
	resource	slaves,         1,         188,  45
	resource	slaves,         1,         193,  57
	resource	slaves,         1,         190,  67
	resource	slaves,         1,         191,  78
	resource	slaves,         1,         173,  68
	resource	slaves,         1,         167,  72
	resource	slaves,         1,         161,  56
	resource	slaves,         1,         159,  51
	resource	slaves,         1,         226,  89
	resource	slaves,         1,         215,  90
	resource	slaves,         1,         214,  59
	resource	slaves,         1,         211,  48			;Palmyra
	resource	slaves,         1,         243,  53			;Seleucia
	resource	slaves,         1,         251,  49			;Susa
	resource	slaves,         1,         251,  78			;Europos
	resource	slaves,         1,         238,  82			;Ganzak
	resource	slaves,         1,         206,  42			;Damascus
	resource	slaves,         1,         113,  59			;Croton
	resource	slaves,         1,         85,   84			;Segesta
	resource	slaves,         1,         113,  113		;Zavist
	resource	slaves,         1,         157,  61			;Aeolia
	resource	slaves,         1,         159,  56 		;Ionia
	resource	slaves,         1,         148,  52 		;Euboea
	resource	slaves,         1,         139,  56 		;Boeotia
	resource	slaves,         1,         35,   144 		;Hibernia
	resource	slaves,         1,         211,  4			;Hejaz
	resource	slaves,         1,         220,  9			;Jawf
	resource	slaves,         1,         203,  22			;Avdat
	resource	slaves,         1,         207,  84			;Rize
	resource	slaves,         1,         152,  57			;Lesbos
	resource	slaves,         1,         140,  59			;Thessalia
	resource	slaves,         1,         207,  51			;Apamene
	resource	slaves,         1,         206,  59			;Cyrrhestica
	resource	slaves,         1,         182,  101		;Bosphorus
	resource	slaves,         1,         179,  98			;Theodosius
	resource	slaves,         1,         189,  103		;Sindica
	resource	slaves,         1,         177,  94			;Scythica Chersonesos
	resource	slaves,         1,         212,  63			;Commagene
	resource	slaves,         1,         215,  70			;Arzanene
	resource	slaves,         1,         224,  55			;Assyria
	resource	slaves,         1,         220,  65			;Mygdonius
	resource	slaves,         1,         236,  62			;Adiabene
	resource	slaves,         1,         226,  76			;Urartu
	resource	slaves,         1,         246,  44			;Mesopotamia
	resource	slaves,         1,         246,  66			;Media
	resource	slaves,         1,         137,  5			;Nasamonea
	resource	slaves,         1,         130,  9			;Libyan Syrtica
	resource	slaves,         1,         115,  11			;Syrtica
	resource	slaves,         1,         98,   7			;Fezzan
	resource	slaves,         1,         97,   50			;Panormus
	resource	slaves,         1,         156,  87			;Tomis
	resource	slaves,         1,         162,  100		;Tyras
	resource	slaves,         1,         162,  8			;Qattara
	resource	slaves,         1,         153,  70			;Thracia Odrysus
	resource	slaves,         1,         143,  89			;Argedava
	resource	slaves,         1,         81,   134		;Tekelia
	resource	slaves,         1,         86,   130		;Cherusci
	resource	slaves,         1,         91,   149		;Alabu
	resource	slaves,         1,         105,  121		;Suebi
	resource	slaves,         1,         150,  100		;Getae
	resource	slaves,         1,         73,   127		;Batavodurum
	resource	slaves,         1,         117,  130		;Ascaucalis
	resource	slaves,         1,         120,  107		;Eburodunum
	resource	slaves,         1,         154,  80			;Odessos
	resource	slaves,         1,         150,  78			;Arkovna
	resource	slaves,         1,         144,  74			;Seuthopolis
	resource	slaves,         1,         141,  76			;Thracia Hellenike
	resource	slaves,         1,         151,  66			;Thracia Chersonesos
	resource	slaves,         1,         69,   118		;Atuatuca
	resource	slaves,         1,         81,   115		;Trier
	resource	slaves,         1,         103,  88			;Iader
	resource	slaves,         1,         88,   106		;Raeti
	resource	slaves,         1,         46,   91			;Aquitania Inferior
	resource	slaves,         1,         30,   41			;Siga
	resource	slaves,         1,         191,  20			;Pelousion
	resource	slaves,         1,         179,  7			;Hare
	resource	slaves,         1,         180,  4			;Thinis
	resource	slaves,         1,         9,    46			;Tingis
	resource	slaves,         1,         83,   62			;Sardinia
	resource	slaves,         1,         227,  19			;Dumat
	resource	slaves,         1,         223,  2			;Khaybar
	resource	slaves,         1,         178,  107		;Kamianka
	resource	slaves,         1,         233,  109		;Campus Aorsi
	resource	slaves,         1,         76,   15			;Cydamus
	resource	slaves,         1,         44,   149		;Scotland
	resource	slaves,         1,         209,  111		;Siracena
	resource	slaves,         1,         248,  119		;Dahae
	resource	slaves,         1,         239,  140		;Massagetae
	resource	slaves,         1,         215,  150		;Thyssagetae
end

;; JNF 2021-06-01 - resources with resource quantity disabled
resource_quantity_disabled
	resource	iron,           1,         83,   128
	resource	wine,           1,         53,   63
	resource	marble,         1,         55,   63
	resource	glass,          1,         201,  36			;Tyre
	resource	purple_dye,     1,         201,  37			;Tyre
	resource	purple_dye,     1,         201,  38			;Tyre
	resource	purple_dye,     1,         201,  39			;Tyre
	resource	gold,           1,         45,   135
	resource	gold,           1,         20,   84
	resource	gold,           1,         140,  64
	resource	grain,          1,         109,  94
	resource	grain,          1,         116,  92
	resource	grain,          1,         184,  18
	resource	grain,          1,         186,  5
	resource	grain,          1,         184,  9
	resource	grain,          1,         184,  8
	resource	grain,          1,         183,  2
	resource	grain,          1,         182,  2
	resource	grain,          1,         83,   31
	resource	grain,          1,         84,   31
	resource	grain,          1,         43,   47
	resource	grain,          1,         44,   47
	resource	grain,          1,         103,  44
	resource	grain,          1,         83,   41
	resource	grain,          1,         84,   41
	resource	grain,          1,         88,   21
	resource	grain,          1,         70,   42
	resource	furs,           1,         130,  99
	resource	furs,           1,         97,   131
	resource	furs,           1,         126,  112
	resource	furs,           1,         115,  132
